"X:","Y:","Z:","Roll:","Pitch:","Yaw:","Graph 0"
-0.850000,-0.130000,-0.080000,176.440000,-7.360000,179.020000,5.000000
-1.550000,0.540000,1.080000,174.320000,-3.850000,-179.520000,54.000000
-1.970000,0.700000,1.150000,173.240000,-1.220000,-179.590000,0.160000
-1.960000,0.640000,1.050000,173.290000,0.040000,179.250000,0.150000
-1.970000,0.330000,0.980000,174.190000,0.300000,177.930000,2.000000
-2.010000,-0.110000,0.980000,175.700000,0.010000,176.660000,8.000000
-1.870000,-0.650000,1.040000,178.010000,-0.750000,175.430000,-3.860000
-1.530000,-1.050000,0.920000,-179.060000,-2.010000,174.280000,2.000000
-1.290000,-1.200000,-0.050000,-175.940000,-3.960000,173.370000,-2.530000
-1.130000,-0.950000,-1.430000,-173.100000,-6.670000,172.750000,0.250000
-0.800000,-0.450000,-2.570000,-170.840000,-9.340000,172.350000,29.000000
-0.560000,-0.070000,-3.050000,-169.300000,-11.090000,172.060000,0.220000
-0.130000,0.070000,-3.130000,-168.810000,-11.050000,171.760000,93.000000
0.320000,0.040000,-3.120000,-169.590000,-9.230000,171.690000,-2.780000
0.570000,-0.110000,-3.020000,-171.740000,-5.990000,172.060000,-0.030000
0.610000,-0.190000,-2.300000,-174.890000,-2.030000,172.910000,-0.100000
0.410000,-0.330000,-0.750000,-178.630000,2.300000,174.260000,4.000000
-0.120000,-0.020000,0.480000,177.730000,6.330000,175.860000,3.000000
-0.800000,0.520000,0.850000,175.030000,9.530000,176.700000,2.000000
-1.600000,0.730000,0.720000,173.430000,11.230000,176.320000,0.000000
-1.920000,0.700000,0.650000,173.250000,11.530000,175.130000,-0.310000
-1.950000,0.430000,0.660000,174.340000,11.110000,173.750000,0.320000
-1.740000,-0.010000,0.790000,176.310000,10.290000,172.350000,0.070000
-1.270000,-0.630000,0.940000,179.020000,8.930000,170.960000,-5.850000
-0.900000,-1.130000,0.090000,-177.930000,6.690000,169.820000,152.740000
-0.430000,-1.000000,-1.080000,-175.430000,3.270000,169.200000,0.000000
-0.010000,-0.960000,-2.180000,-173.710000,-0.660000,169.270000,149.950000
0.260000,-0.560000,-3.000000,-172.520000,-3.910000,169.970000,0.430000
0.450000,-0.210000,-3.040000,-172.610000,-4.180000,171.050000,0.220000
0.650000,-0.080000,-3.000000,-173.850000,-2.290000,172.000000,0.640000
0.720000,0.060000,-2.700000,-176.100000,0.870000,173.030000,64.000000
0.330000,0.050000,-1.790000,-179.120000,4.230000,174.030000,99.000000
-0.130000,0.270000,-0.480000,177.450000,7.350000,174.850000,-4.850000
-0.950000,0.640000,0.470000,174.470000,9.900000,175.330000,6.000000
-1.470000,1.030000,0.740000,171.870000,12.100000,175.060000,2.000000
-1.660000,0.930000,-1.180000,155.380000,27.120000,173.430000,2.000000
0.810000,0.380000,-0.760000,153.330000,28.420000,158.390000,0.000000
0.540000,1.080000,-0.370000,151.350000,29.670000,157.210000,2.000000
0.250000,0.650000,-0.070000,149.670000,30.790000,156.320000,-0.050000
-0.050000,0.290000,0.120000,148.510000,31.550000,155.910000,3.790000
-0.230000,0.040000,0.180000,147.990000,31.820000,155.940000,-0.430000
-0.350000,-0.060000,0.120000,148.080000,31.590000,156.380000,0.000000
-0.350000,-0.080000,-0.060000,148.610000,31.140000,157.090000,-0.550000
-0.280000,-0.050000,-0.240000,149.230000,30.700000,157.750000,54.000000
-0.180000,0.030000,-0.370000,149.970000,30.240000,158.350000,6.000000
-0.080000,0.140000,-0.510000,150.690000,29.820000,158.850000,7.000000
0.030000,0.270000,-0.590000,151.280000,29.420000,159.290000,0.000000
0.180000,0.390000,-0.610000,151.750000,29.120000,159.710000,0.620000
0.290000,0.460000,-0.630000,152.130000,28.970000,160.180000,-0.410000
0.300000,0.440000,-0.610000,152.000000,28.890000,160.630000,0.010000
0.260000,0.430000,-0.600000,152.580000,28.850000,161.010000,0.680000
0.200000,0.440000,-0.600000,152.820000,28.830000,161.260000,0.420000
0.130000,0.450000,-0.600000,152.940000,28.880000,161.220000,1.000000
0.070000,0.520000,-0.590000,152.930000,28.940000,160.920000,0.820000
0.050000,0.590000,-0.560000,152.910000,28.940000,160.520000,-0.050000
0.110000,0.600000,-0.560000,152.870000,28.930000,160.040000,0.060000
0.150000,0.480000,-0.550000,152.800000,28.890000,159.570000,7.930000
0.180000,0.370000,-0.520000,152.750000,28.860000,159.260000,-0.200000
0.200000,0.280000,-0.500000,152.800000,28.810000,159.180000,3.000000
0.170000,0.210000,-0.520000,152.970000,28.620000,159.350000,0.270000
0.160000,0.230000,-0.540000,153.210000,28.270000,159.720000,31.000000
0.160000,0.260000,-0.570000,153.520000,27.870000,160.120000,-39.870000
0.170000,0.340000,-0.620000,153.870000,27.480000,160.390000,133.900000
0.180000,0.380000,-0.690000,154.180000,27.180000,160.470000,0.630000
0.190000,0.420000,-0.740000,154.400000,26.980000,160.410000,15.190000
0.210000,0.450000,-0.720000,154.500000,26.890000,160.250000,0.540000
0.220000,0.440000,-0.690000,154.540000,26.880000,160.070000,0.150000
0.190000,0.390000,-0.680000,154.590000,26.930000,159.930000,0.560000
0.170000,0.360000,-0.640000,154.620000,27.050000,159.850000,7.000000
0.160000,0.320000,-0.570000,154.660000,27.220000,159.830000,0.000000
0.150000,0.280000,-0.530000,154.730000,27.400000,159.830000,0.150000
0.140000,0.290000,-0.510000,154.830000,27.540000,159.830000,107.380000
0.150000,0.310000,-0.530000,154.930000,27.610000,159.790000,123.910000
0.150000,0.320000,-0.550000,155.000000,27.600000,159.750000,167.700000
0.140000,0.340000,-0.570000,155.080000,27.530000,159.710000,0.000000
0.150000,0.320000,-0.570000,155.150000,27.500000,159.650000,0.070000
0.150000,0.300000,-0.570000,155.210000,27.560000,159.410000,12.000000
0.160000,0.280000,-0.550000,155.310000,27.700000,159.230000,0.030000
0.150000,0.240000,-0.530000,155.400000,27.870000,159.090000,0.030000
0.150000,0.230000,-0.530000,155.550000,28.010000,159.050000,0.340000
0.160000,0.230000,-0.570000,155.800000,28.060000,159.080000,0.230000
0.160000,0.220000,-0.610000,156.060000,28.070000,159.150000,8.000000
0.170000,0.200000,-0.610000,156.310000,28.060000,159.190000,0.080000
0.180000,0.210000,-0.620000,156.480000,28.070000,159.220000,0.540000
0.200000,0.200000,-0.620000,156.630000,28.100000,159.240000,0.000000
0.190000,0.220000,-0.620000,156.750000,28.170000,159.230000,0.390000
0.200000,0.220000,-0.630000,156.870000,28.340000,159.200000,5.000000
0.200000,0.220000,-0.630000,156.980000,28.540000,159.160000,1.140000
0.190000,0.200000,-0.620000,157.090000,28.780000,159.100000,-0.010000
0.100000,0.200000,-0.610000,157.200000,29.020000,159.010000,0.770000
0.170000,0.200000,-0.600000,157.250000,29.270000,158.860000,5.000000
0.150000,0.170000,-0.580000,157.260000,29.580000,158.620000,92.000000
0.110000,0.150000,-0.550000,157.240000,29.920000,158.280000,5.000000
0.060000,0.130000,-0.510000,157.220000,30.280000,157.810000,1.000000
0.010000,0.090000,-0.490000,157.260000,30.620000,157.310000,48.000000
-0.030000,0.070000,-0.470000,157.400000,30.880000,156.780000,-0.370000
-0.040000,0.040000,-0.460000,157.600000,31.040000,156.200000,0.360000
-0.080000,0.020000,-0.440000,157.840000,31.150000,155.500000,0.240000
-0.130000,-0.010000,-0.380000,158.150000,31.270000,154.650000,-0.350000
-0.200000,-0.070000,-0.300000,158.590000,31.530000,153.710000,0.060000
-0.310000,-0.150000,-0.250000,159.250000,31.880000,152.830000,0.170000
-0.410000,-0.190000,-0.220000,160.190000,32.100000,152.120000,0.850000
-0.460000,-0.190000,-0.220000,161.430000,31.930000,151.660000,0.000000
-0.480000,-0.140000,-0.280000,162.980000,31.210000,151.460000,92.000000
-0.440000,-0.080000,-0.360000,164.670000,30.090000,151.410000,-21.020000
-0.370000,-0.020000,-0.470000,166.490000,28.740000,151.380000,27.000000
-0.290000,0.020000,-0.570000,168.510000,27.270000,151.280000,7.000000
-0.160000,0.020000,-0.740000,170.790000,25.850000,151.070000,0.640000
-0.020000,-0.010000,-1.020000,173.170000,24.540000,150.690000,0.070000
0.150000,-0.080000,-1.350000,175.480000,23.370000,150.290000,35.610000
0.380000,-0.100000,-1.790000,177.280000,22.210000,150.090000,0.230000
0.630000,-0.100000,-2.190000,178.090000,20.980000,150.180000,-14.360000
0.880000,-0.140000,-2.440000,177.760000,20.040000,150.400000,6.000000
1.050000,-0.120000,-2.460000,176.510000,19.870000,150.600000,0.050000
1.270000,-0.120000,-2.260000,173.960000,21.200000,150.580000,0.370000
1.530000,-0.150000,-1.950000,171.460000,23.070000,150.130000,0.000000
1.680000,-0.150000,-1.530000,168.480000,25.500000,149.280000,0.410000
1.830000,-0.050000,-1.100000,165.050000,28.100000,148.090000,8.000000
1.920000,0.040000,-0.680000,161.090000,30.690000,146.740000,2.000000
1.980000,0.080000,-0.250000,156.770000,33.110000,144.900000,0.370000
1.970000,0.100000,0.250000,150.820000,36.040000,-169.180000,0.460000
1.880000,0.120000,1.120000,-174.000000,55.680000,-163.880000,47.000000
0.570000,0.060000,1.000000,-170.610000,56.040000,-159.340000,3.000000
0.420000,-0.390000,0.900000,-166.870000,55.910000,-155.550000,-11.740000
0.130000,0.020000,0.750000,-163.500000,55.150000,-152.670000,5.000000
-0.020000,0.300000,0.790000,-160.420000,54.090000,-150.270000,-0.040000
-0.160000,0.590000,0.660000,-157.380000,53.140000,-147.900000,-0.010000
-0.180000,0.410000,0.670000,-153.970000,52.160000,-145.620000,6.000000
-0.070000,0.300000,0.700000,-150.810000,51.020000,-143.250000,0.000000
0.010000,0.190000,0.590000,-147.970000,49.530000,-140.820000,85.150000
0.040000,0.150000,0.570000,-145.500000,47.850000,-138.290000,0.160000
0.110000,0.030000,0.500000,-143.260000,45.950000,-136.120000,0.390000
0.020000,0.030000,0.360000,-141.290000,44.040000,-134.420000,-85.190000
-0.040000,0.120000,0.190000,-139.490000,42.150000,-133.540000,85.220000
-0.250000,0.100000,-0.010000,-137.930000,40.290000,-133.470000,-85.240000
-0.360000,0.170000,-0.250000,-136.580000,38.290000,-133.970000,0.000000
-0.310000,0.220000,-0.510000,-135.460000,36.090000,-134.880000,0.000000
-0.250000,0.220000,-0.670000,-134.550000,33.850000,-136.130000,0.750000
-0.160000,0.200000,-0.790000,-133.910000,31.700000,-137.630000,0.000000
-0.010000,0.150000,-0.880000,-133.430000,29.760000,-139.260000,0.320000
0.140000,0.030000,-0.940000,-133.050000,28.150000,-141.000000,0.000000
0.250000,-0.090000,-0.970000,-132.700000,26.900000,-142.800000,0.350000
0.370000,-0.210000,-0.970000,-132.400000,26.020000,-144.550000,-0.020000
0.480000,-0.320000,-0.980000,-132.180000,25.490000,-146.220000,0.000000
0.580000,-0.390000,-0.960000,-132.040000,25.280000,-147.850000,0.000000
0.640000,-0.450000,-0.940000,-132.030000,25.380000,-149.500000,0.000000
